init_angle,init_speed,X,Y,time
,,521.8448045,254.6076245,7.38
,,522.5519113,254.5905113,7.39
,,523.2590181,254.5724181,7.4
,,523.9661249,254.5533449,7.41
,,524.6732316,254.5332916,7.42
,,525.3803384,254.5122584,7.43
,,526.0874452,254.4902452,7.44
,,526.794552,254.467252,7.45
,,527.5016588,254.4432788,7.46
,,528.2087655,254.4183255,7.47
,,528.9158723,254.3923923,7.48
,,529.6229791,254.3654791,7.49
,,530.3300859,254.3375859,7.5
,,531.0371927,254.3087127,7.51
,,531.7442995,254.2788595,7.52
,,532.4514062,254.2480262,7.53
,,533.158513,254.216213,7.54
,,533.8656198,254.1834198,7.55
,,534.5727266,254.1496466,7.56
,,535.2798334,254.1148934,7.57
,,535.9869401,254.0791601,7.58
,,536.6940469,254.0424469,7.59
,,537.4011537,254.0047537,7.6
,,538.1082605,253.9660805,7.61
,,538.8153673,253.9264273,7.62
,,539.522474,253.885794,7.63
,,540.2295808,253.8441808,7.64
,,540.9366876,253.8015876,7.65
,,541.6437944,253.7580144,7.66
,,542.3509012,253.7134612,7.67
,,543.058008,253.667928,7.68
,,543.7651147,253.6214147,7.69
,,544.4722215,253.5739215,7.7
,,545.1793283,253.5254483,7.71
,,545.8864351,253.4759951,7.72
,,546.5935419,253.4255619,7.73
,,547.3006486,253.3741486,7.74
,,548.0077554,253.3217554,7.75
,,548.7148622,253.2683822,7.76
,,549.421969,253.214029,7.77
,,550.1290758,253.1586958,7.78
,,550.8361825,253.1023825,7.79
,,551.5432893,253.0450893,7.8
,,552.2503961,252.9868161,7.81
,,552.9575029,252.9275629,7.82
,,553.6646097,252.8673297,7.83
,,554.3717165,252.8061165,7.84
,,555.0788232,252.7439232,7.85
,,555.78593,252.68075,7.86
,,556.4930368,252.6165968,7.87
,,557.2001436,252.5514636,7.88
,,557.9072504,252.4853504,7.89
,,558.6143571,252.4182571,7.9
,,559.3214639,252.3501839,7.91
,,560.0285707,252.2811307,7.92
,,560.7356775,252.2110975,7.93
,,561.4427843,252.1400843,7.94
,,562.149891,252.068091,7.95
,,562.8569978,251.9951178,7.96
,,563.5641046,251.9211646,7.97
,,564.2712114,251.8462314,7.98
,,564.9783182,251.7703182,7.99
,,565.6854249,251.6934249,8
,,566.3925317,251.6155517,8.01
,,567.0996385,251.5366985,8.02
,,567.8067453,251.4568653,8.03
,,568.5138521,251.3760521,8.04
,,569.2209589,251.2942589,8.05
,,569.9280656,251.2114856,8.06
,,570.6351724,251.1277324,8.07
,,571.3422792,251.0429992,8.08
,,572.049386,250.957286,8.09
,,572.7564928,250.8705928,8.1
,,573.4635995,250.7829195,8.11
,,574.1707063,250.6942663,8.12
,,574.8778131,250.6046331,8.13
,,575.5849199,250.5140199,8.14
,,576.2920267,250.4224267,8.15
,,576.9991334,250.3298534,8.16
,,577.7062402,250.2363002,8.17
,,578.413347,250.141767,8.18
,,579.1204538,250.0462538,8.19
,,579.8275606,249.9497606,8.2
,,580.5346674,249.8522874,8.21
,,581.2417741,249.7538341,8.22
,,581.9488809,249.6544009,8.23
,,582.6559877,249.5539877,8.24
,,583.3630945,249.4525945,8.25
,,584.0702013,249.3502213,8.26
,,584.777308,249.246868,8.27
,,585.4844148,249.1425348,8.28
,,586.1915216,249.0372216,8.29
,,586.8986284,248.9309284,8.3
,,587.6057352,248.8236552,8.31
,,588.3128419,248.7154019,8.32
,,589.0199487,248.6061687,8.33
,,589.7270555,248.4959555,8.34
,,590.4341623,248.3847623,8.35
,,591.1412691,248.2725891,8.36
,,591.8483759,248.1594359,8.37
,,592.5554826,248.0453026,8.38
,,593.2625894,247.9301894,8.39
,,593.9696962,247.8140962,8.4
,,594.676803,247.697023,8.41
,,595.3839098,247.5789698,8.42
,,596.0910165,247.4599365,8.43
,,596.7981233,247.3399233,8.44
,,597.5052301,247.2189301,8.45
,,598.2123369,247.0969569,8.46
,,598.9194437,246.9740037,8.47
,,599.6265504,246.8500704,8.48
,,600.3336572,246.7251572,8.49
,,601.040764,246.599264,8.5
,,601.7478708,246.4723908,8.51
,,602.4549776,246.3445376,8.52
,,603.1620844,246.2157044,8.53
,,603.8691911,246.0858911,8.54
,,604.5762979,245.9550979,8.55
,,605.2834047,245.8233247,8.56
,,605.9905115,245.6905715,8.57
,,606.6976183,245.5568383,8.58
,,607.404725,245.422125,8.59
,,608.1118318,245.2864318,8.6
,,608.8189386,245.1497586,8.61
,,609.5260454,245.0121054,8.62
,,610.2331522,244.8734722,8.63
,,610.9402589,244.7338589,8.64
,,611.6473657,244.5932657,8.65
,,612.3544725,244.4516925,8.66
,,613.0615793,244.3091393,8.67
,,613.7686861,244.1656061,8.68
,,614.4757929,244.0210929,8.69
,,615.1828996,243.8755996,8.7
,,615.8900064,243.7291264,8.71
,,616.5971132,243.5816732,8.72
,,617.30422,243.43324,8.73
,,618.0113268,243.2838268,8.74
,,618.7184335,243.1334335,8.75
,,619.4255403,242.9820603,8.76
,,620.1326471,242.8297071,8.77
,,620.8397539,242.6763739,8.78
,,621.5468607,242.5220607,8.79
,,622.2539674,242.3667674,8.8
,,622.9610742,242.2104942,8.81
,,623.668181,242.053241,8.82
,,624.3752878,241.8950078,8.83
,,625.0823946,241.7357946,8.84
,,625.7895014,241.5756014,8.85
,,626.4966081,241.4144281,8.86
,,627.2037149,241.2522749,8.87
,,627.9108217,241.0891417,8.88
,,628.6179285,240.9250285,8.89
,,629.3250353,240.7599353,8.9
,,630.032142,240.593862,8.91
,,630.7392488,240.4268088,8.92
,,631.4463556,240.2587756,8.93
,,632.1534624,240.0897624,8.94
,,632.8605692,239.9197692,8.95
,,633.5676759,239.7487959,8.96
,,634.2747827,239.5768427,8.97
,,634.9818895,239.4039095,8.98
,,635.6889963,239.2299963,8.99
,,636.3961031,239.0551031,9
,,637.1032098,238.8792298,9.01
,,637.8103166,238.7023766,9.02
,,638.5174234,238.5245434,9.03
,,639.2245302,238.3457302,9.04
,,639.931637,238.165937,9.05
,,640.6387438,237.9851638,9.06
,,641.3458505,237.8034105,9.07
,,642.0529573,237.6206773,9.08
,,642.7600641,237.4369641,9.09
,,643.4671709,237.2522709,9.1
,,644.1742777,237.0665977,9.11
,,644.8813844,236.8799444,9.12
,,645.5884912,236.6923112,9.13
,,646.295598,236.503698,9.14
,,647.0027048,236.3141048,9.15
,,647.7098116,236.1235316,9.16
,,648.4169183,235.9319783,9.17
,,649.1240251,235.7394451,9.18
,,649.8311319,235.5459319,9.19
,,650.5382387,235.3514387,9.2
,,651.2453455,235.1559655,9.21
,,651.9524523,234.9595123,9.22
,,652.659559,234.762079,9.23
,,653.3666658,234.5636658,9.24
,,654.0737726,234.3642726,9.25
,,654.7808794,234.1638994,9.26
,,655.4879862,233.9625462,9.27
,,656.1950929,233.7602129,9.28
,,656.9021997,233.5568997,9.29
,,657.6093065,233.3526065,9.3
,,658.3164133,233.1473333,9.31
,,659.0235201,232.9410801,9.32
,,659.7306268,232.7338468,9.33
,,660.4377336,232.5256336,9.34
,,661.1448404,232.3164404,9.35
,,661.8519472,232.1062672,9.36
,,662.559054,231.895114,9.37
,,663.2661608,231.6829808,9.38
,,663.9732675,231.4698675,9.39
,,664.6803743,231.2557743,9.4
,,665.3874811,231.0407011,9.41
,,666.0945879,230.8246479,9.42
,,666.8016947,230.6076147,9.43
,,667.5088014,230.3896014,9.44
,,668.2159082,230.1706082,9.45
,,668.923015,229.950635,9.46
,,669.6301218,229.7296818,9.47
,,670.3372286,229.5077486,9.48
,,671.0443353,229.2848353,9.49
,,671.7514421,229.0609421,9.5
,,672.4585489,228.8360689,9.51
,,673.1656557,228.6102157,9.52
,,673.8727625,228.3833825,9.53
,,674.5798693,228.1555693,9.54
,,675.286976,227.926776,9.55
,,675.9940828,227.6970028,9.56
,,676.7011896,227.4662496,9.57
,,677.4082964,227.2345164,9.58
,,678.1154032,227.0018032,9.59
,,678.8225099,226.7681099,9.6
,,679.5296167,226.5334367,9.61
,,680.2367235,226.2977835,9.62
,,680.9438303,226.0611503,9.63
,,681.6509371,225.8235371,9.64
,,682.3580438,225.5849438,9.65
,,683.0651506,225.3453706,9.66
,,683.7722574,225.1048174,9.67
,,684.4793642,224.8632842,9.68
,,685.186471,224.620771,9.69
,,685.8935778,224.3772778,9.7
,,686.6006845,224.1328045,9.71
,,687.3077913,223.8873513,9.72
,,688.0148981,223.6409181,9.73
,,688.7220049,223.3935049,9.74
